,player_name,offense_est,defense_est,total_est,rank
1,Shai Gilgeous-Alexander,5.777571813337798,1.3456990612747066,7.123270874612505,1
0,Nikola Jokic,5.186892667170057,1.4351328727142276,6.622025539884285,2
5,Giannis Antetokounmpo,4.182801795116188,0.8042090455256875,4.987010840641876,3
6,Luka Doncic,3.7463081858472704,0.7611734450057115,4.507481630852982,4
59,Chet Holmgren,1.1971845344162066,2.988597668783984,4.185782203200191,5
35,Victor Wembanyama,1.5024564968592031,2.6308120389963143,4.1332685358555175,6
60,Evan Mobley,1.9877079979682122,1.9665343938469393,3.9542423918151517,7
187,Alex Caruso,1.028852468561289,2.897189231458166,3.926041700019455,8
261,Jaylin Williams,1.2857633962724961,2.639973166491302,3.925736562763798,9
4,Donovan Mitchell,3.2634829968201635,0.42457634372504505,3.6880593405452085,10
37,Jarrett Allen,1.963601386714407,1.643333685904879,3.606935072619286,11
14,Kawhi Leonard,2.4075006953472324,1.1623429266023777,3.56984362194961,12
2,Jayson Tatum,3.075244532093738,0.47788010638845735,3.5531246384821955,13
39,Ty Jerome,2.9189689234978835,0.5989413508634177,3.5179102743613013,14
3,Stephen Curry,3.5862044881315063,-0.1645762946575763,3.42162819347393,15
52,Anthony Davis,1.9693327228618582,1.4397006200451592,3.4090333429070174,16
74,Jalen Williams,2.2973395720506296,1.0158406503344009,3.3131802223850304,17
30,Jimmy Butler,2.713497139569146,0.5980369959279347,3.3115341354970806,18
102,Isaiah Hartenstein,0.9879905963723695,2.259979776927211,3.2479703732995806,19
12,Tyrese Haliburton,2.935662575517915,0.3078474332186937,3.2435100087366084,20
173,Ivica Zubac,1.6758067446973595,1.5012231318611955,3.1770298765585547,21
21,Darius Garland,3.040013681087306,0.0993386394382679,3.1393523205255742,22
17,Karl-Anthony Towns,2.2169225272483035,0.8370899691820425,3.054012496430346,23
94,Kristaps Porzingis,1.8835764596008613,1.0718626446580524,2.9554391042589137,24
13,James Harden,2.558891612959169,0.3444275147961151,2.903319127755284,25
107,Luke Kornet,0.6179064745473218,2.2742188046316576,2.8921252791789795,26
179,Paul Reed,-0.3538813389298813,3.107790065232474,2.7539087263025928,27
71,Alperen Sengun,1.4230022162826925,1.3272894807001123,2.7502916969828046,28
64,Jaren Jackson Jr.,1.5822954375960359,1.1549157574998967,2.7372111950959326,29
27,Zion Williamson,2.663408899718556,-0.03685305470793476,2.6265558450106212,30
16,Ja Morant,2.7663468026075453,-0.14229383390047304,2.624052968707072,31
43,Aaron Wiggins,1.6005575700935744,0.971931987279903,2.572489557373477,32
38,Isaiah Joe,1.7778274222159336,0.764063759308829,2.5418911815247625,33
48,Derrick White,1.5763112828775407,0.8090706875191541,2.3853819703966948,34
15,Anthony Edwards,2.5489593759735785,-0.18381322476639897,2.3651461512071794,35
471,Matisse Thybulle,0.05154465740879027,2.2647974147680996,2.31634207217689,36
329,Mouhamed Gueye,-0.4557550014750248,2.771125963195755,2.3153709617207303,37
66,Daniel Gafford,0.9573032821020652,1.2944474290086356,2.251750711110701,38
11,Damian Lillard,3.012495033320834,-0.7675036563669836,2.2449913769538505,39
147,Tari Eason,0.2309556863186987,1.9973363866524474,2.228292072971146,40
20,Franz Wagner,2.1213863350612394,0.035619607298229855,2.1570059423594694,41
18,Jamal Murray,1.9199330213357853,0.18090811449662744,2.100841135832413,42
23,Payton Pritchard,1.917842487606982,0.13989925151827984,2.057741739125262,43
67,Norman Powell,2.1015629323151868,-0.07596013762897572,2.025602794686211,44
114,Steven Adams,-0.40923823073359755,2.4111119594372434,2.0018737287036457,45
28,Cade Cunningham,2.261304000782491,-0.26236989929880306,1.9989341014836879,46
32,Jaylen Brown,1.6897781545249495,0.30025910029291214,1.9900372548178615,47
56,Amen Thompson,0.38471484925309374,1.6043187474887115,1.9890335967418054,48
95,Dereck Lively II,0.10557324028603784,1.8688645705631575,1.9744378108491953,49
29,LeBron James,2.434457353244136,-0.4604957875603386,1.9739615656837972,50
42,Pascal Siakam,1.6241701863401021,0.29371122244495473,1.9178814087850569,51
159,Kenrich Williams,0.5643160469358047,1.3529710088747504,1.9172870558105553,52
7,Jalen Brunson,2.918600473822257,-1.0083815206330322,1.9102189531892249,53
9,Kyrie Irving,2.0835174693236946,-0.23154989222000025,1.8519675771036943,54
104,Brandon Clarke,0.48081450401183634,1.3677079487627173,1.8485224527745536,55
87,Domantas Sabonis,1.480133691677764,0.36119325913953715,1.8413269508173014,56
175,Jalen Johnson,0.7959481344936984,0.9926844463964821,1.7886325808901806,57
116,Caris LeVert,1.119047786169974,0.6369581630191491,1.756005949189123,58
152,Lonzo Ball,0.28571591400003504,1.4614158216126578,1.747131735612693,59
129,Santi Aldama,1.0769136839430835,0.6136232814539994,1.690536965397083,60
41,Aaron Gordon,1.6338846014300106,0.053869683207314306,1.6877542846373248,61
49,Desmond Bane,1.6727788659421599,0.010587607919831737,1.6833664738619916,62
