,player_name,offense_est,defense_est,total_est,rank
14,A'ja Wilson,2.5272649781321763,2.4454869181996757,4.972751896331852,1
0,Napheesa Collier,1.5932432326319115,2.2661738640613183,3.85941709669323,2
5,Breanna Stewart,1.4968448206218594,1.8347965323838584,3.331641353005718,3
29,Nyara Sabally,-0.1366687509112429,2.856233574532409,2.719564823621166,4
13,Nneka Ogwumike,0.972042984472789,1.6497894355006069,2.621832419973396,5
2,Jonquel Jones,0.7085371234978002,1.5144811666777247,2.223018290175525,6
41,Elizabeth Williams,-0.6131125012452158,2.780895176639908,2.1677826753946925,7
3,Sabrina Ionescu,1.375676567517054,0.5655221023491809,1.941198669866235,8
6,Alanna Smith,-0.41637516988662726,2.348651686827375,1.9322765169407474,9
18,Alyssa Thomas,0.6974807557623615,1.1488760354723178,1.8463567912346792,10
19,Ezi Magbegor,-0.5679554634532169,2.3407403480592266,1.7727848846060097,11
15,Skylar Diggins-Smith,0.6407512568757862,1.0994290619007703,1.7401803187765563,12
12,Brionna Jones,0.5727467595469188,1.165720724768119,1.7384674843150378,13
10,DeWanna Bonner,0.5185186444650927,1.0911436970706008,1.6096623415356934,14
1,Leonie Fiebich,0.37498328693815874,1.023879784885078,1.3988630718232367,15
4,Kayla McBride,1.2293102809700345,0.10987768546067675,1.3391879664307111,16
23,Veronica Burton,0.015273650769551755,1.2851370507295385,1.3004107014990902,17
22,Chelsea Gray,-0.03968274269375263,1.3025681480796012,1.2628854053858485,18
17,Jewell Loyd,0.8457577273460594,0.3042392995166462,1.1499970268627056,19
25,Tiffany Hayes,0.5647798931509793,0.5380078131158265,1.1027877062668057,20
7,Courtney Williams,0.07516714230399821,0.916951658078355,0.9921188003823532,21
35,Sydney Colson,-0.5303903446081979,1.489175283253836,0.9587849386456382,22
20,Jackie Young,0.7830746208710213,0.09813362415674928,0.8812082450277706,23
94,Emily Engstler,-0.5431115087246174,1.3209466614809473,0.7778351527563299,24
58,Rhyne Howard,0.16594173240769947,0.5725414393269487,0.7384831717346482,25
112,Brittney Griner,0.2726989056422948,0.43899149219878775,0.7116903978410826,26
11,Betnijah Laney-Hamilton,-0.1435190294203548,0.6306303204742946,0.4871112910539398,27
8,Kelsey Plum,0.8675669691561934,-0.4373133983643801,0.43025357079181326,28
26,Courtney Vandersloot,-0.49034144277069247,0.9115245608126081,0.42118311804191566,29
9,Bridget Carleton,-0.033629893386913606,0.2857447947563202,0.2521149013694066,30
27,DiJonai Carrington,-0.6605731610816767,0.9031361089001418,0.2425629478184651,31
46,Angel Reese,-1.0157045526053812,1.2275568632235623,0.2118523106181811,32
53,Gabby Williams,-0.2931651825784406,0.46126190927888966,0.16809672670044906,33
162,Caitlin Clark,0.6202103908865132,-0.46510722618491585,0.15510316470159735,34
30,Kiah Stokes,-2.0947015757488012,2.2434821102948175,0.14878053454601625,35
42,Chennedy Carter,0.42736319922346444,-0.28153679842187584,0.1458264008015886,36
141,Aliyah Boston,-0.7049570155575021,0.7744824007293406,0.06952538517183848,37
21,Tyasha Harris,-0.23362365113351494,0.2643144285280187,0.030690777394503738,38
61,Tina Charles,-0.48305549513916557,0.47815361093919784,-0.004901884199967732,39
